Intitule du poste,Description,Niveau d'etudes,Description,Niveau d'etudes
Ingenieur en technologies emergentes,Responsable de la recherche et du developpement des technologies naissantes et potentiellement revolutionnaires.,Master en ingenierie ou technologie
Specialiste en UX research,Etudie et evalue comment les utilisateurs ressentent un systeme, en prenant en compte la facilite d'utilisation, la perception de la valeur, l'utilite et l'efficacite du systeme.,Master en design ou psychologie
Ingenieur en applications de sante,Developpe et maintient des applications destinees au domaine medical et de la sante.,Master en informatique ou ingenierie biomedicale
Analyste en intelligence economique,Recueille, analyse et interprete des informations sur l'environnement economique pour aider a la prise de decision.,Master en economie ou en administration des affaires
Specialiste en infrastructure hybride,Concoit et gere des solutions combinant des ressources informatiques sur site et en cloud.,Master en informatique ou en reseau
Charge des relations publiques en TI,Gere la communication et l'image de l'entreprise dans le domaine des technologies de l'information.,Licence en communication ou relations publiques
Ingenieur en solutions de commerce,Developpe des solutions pour optimiser et numeriser les operations commerciales des entreprises.,Master en informatique ou commerce
Consultant en solutions Cloud natives,Conseille sur le developpement et la mise en oeuvre de solutions concues specifiquement pour les environnements cloud.,Master en informatique ou technologie cloud
Ingenieur en haptique,Specialise dans le developpement de technologies permettant la sensation tactile dans des environnements numeriques.,Master en ingenierie electronique
Specialiste en chatbots,Concoit et developpe des programmes de chat automatises pour interagir avec les utilisateurs.,Master en informatique ou intelligence artificielle
Directeur de produits numeriques,Gere le developpement, le lancement et la maintenance de produits numeriques.,Master en gestion de produit ou MBA
Technicien en recuperation de donnees,Specialise dans la recuperation de donnees a partir de dispositifs endommages ou corrompus.,Licence en informatique ou technologies de l'information
Analyste en logiciels de CRM avances,Analyse et optimise l'utilisation de logiciels de gestion de la relation client.,Licence en informatique ou marketing
Ingenieur en controle automatique,Concoit des systemes automatises pour controler differents processus.,Master en ingenierie automatique
Specialiste en logiciels de CAO,Expert dans l'utilisation de logiciels de conception assistee par ordinateur pour creer des modeles numeriques.,Licence en design ou ingenierie
Ingenieur en solutions de gestion d'energie,Concoit des solutions pour surveiller, controler et optimiser la consommation d'energie.,Master en ingenierie energetique
Chef de projet en R&D,Dirige des projets de recherche et developpement pour innover dans le secteur technologique.,Master en gestion de projet ou ingenierie
Ingenieur en technologie quantique,Travaille sur la mise en oeuvre et l'application de la mecanique quantique dans la technologie.,Doctorat en physique quantique
Charge d'etudes en TI,Analyse des donnees et realise des etudes pour informer les decisions strategiques dans le domaine de la technologie.,Licence en informatique ou administration des affaires
